rest_close_eye_start,rest_close_eye_start_lsl,rest_close_eye_end,rest_close_eye_end_lsl,rest_open_eye_start,rest_open_eye_start_lsl,rest_open_eye_end,rest_open_eye_end_lsl,event,rating_label,kss_rating,time_sec,lsl_timestamp,stress,frustration,phase,trial,tick_soa_s,is_target_double_jump,responded,rt,n_positions,position_phase,correct,hit,false_alarm,miss,participant,calibration_min,formal_min,ratings_every_min,mack_positions,mack_initial_SOA,mack_target_prob
,,,,,,,,,,,34,147232.6078258,,,Mackworth_Calibration,27,0.7,1,1,0.4631855000043288,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,35,147233.3214873,,,Mackworth_Calibration,28,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,36,147234.0445684,,,Mackworth_Calibration,29,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,37,147234.7798759,,,Mackworth_Calibration,30,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,37,147235.5201323,,,Mackworth_Calibration,31,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,38,147236.242347,,,Mackworth_Calibration,32,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,39,147236.9730379,,,Mackworth_Calibration,33,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,39,147237.70288,,,Mackworth_Calibration,34,0.7,1,1,0.41923050000332296,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,40,147238.4123008,,,Mackworth_Calibration,35,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,41,147239.1196863,,,Mackworth_Calibration,36,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,42,147239.8680859,,,Mackworth_Calibration,37,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,42,147240.586811,,,Mackworth_Calibration,38,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,43,147241.3132284,,,Mackworth_Calibration,39,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,44,147242.03925,,,Mackworth_Calibration,40,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,44,147242.7477292,,,Mackworth_Calibration,41,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,45,147243.4958987,,,Mackworth_Calibration,42,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,46,147244.2029681,,,Mackworth_Calibration,43,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,47,147244.9049121,,,Mackworth_Calibration,44,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,47,147245.6062844,,,Mackworth_Calibration,45,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,48,147246.314703,,,Mackworth_Calibration,46,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,49,147247.071081,,,Mackworth_Calibration,47,0.7,1,1,0.40981969999847934,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,50,147247.7864557,,,Mackworth_Calibration,48,0.7,1,1,0.5670441000256687,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,50,147248.4955018,,,Mackworth_Calibration,49,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,51,147249.2278162,,,Mackworth_Calibration,50,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,52,147249.9551095,,,Mackworth_Calibration,51,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,52,147250.7094427,,,Mackworth_Calibration,52,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
