eeg_feature,behavior_variable,correlation,abs_correlation
de_fp2_37_39Hz,stress,-0.48058337913393867,0.48058337913393867
bp_fp2_gamma,kss_rating,-0.45996847681219033,0.45996847681219033
de_fp1_37_39Hz,stress,-0.4598565548696874,0.4598565548696874
de_fp2_47_49Hz,perclos,-0.4468668995945797,0.4468668995945797
bp_fp1_gamma,stress,-0.44440236944339073,0.44440236944339073
de_fp2_39_41Hz,perclos,-0.43741972436416343,0.43741972436416343
de_fp1_45_47Hz,perclos,-0.42911310570786354,0.42911310570786354
de_fp2_49_51Hz,perclos,-0.4141221150360767,0.4141221150360767
de_fp2_43_45Hz,perclos,-0.4122812114113345,0.4122812114113345
de_fp1_37_39Hz,kss_rating,-0.40776515641626654,0.40776515641626654
de_fp2_29_31Hz,frustration,-0.3965715675207016,0.3965715675207016
de_fp2_41_43Hz,perclos,-0.39011090573863494,0.39011090573863494
de_fp2_45_47Hz,perclos,-0.39006815721961996,0.39006815721961996
de_fp2_35_37Hz,kss_rating,-0.3874342955252815,0.3874342955252815
de_fp1_35_37Hz,stress,-0.3863782780696683,0.3863782780696683
de_fp1_41_43Hz,perclos,-0.38405672970181887,0.38405672970181887
de_fp2_25_27Hz,frustration,-0.38284748350260667,0.38284748350260667
de_fp2_31_33Hz,stress,-0.3817882099336204,0.3817882099336204
de_fp2_31_33Hz,frustration,-0.3803711785693381,0.3803711785693381
bp_fp1_theta,perclos,0.3734262647078358,0.3734262647078358
bp_fp1_delta,perclos,0.36921522021300845,0.36921522021300845
de_fp1_33_35Hz,frustration,-0.36643984142242253,0.36643984142242253
de_fp2_25_27Hz,stress,-0.36248417335674843,0.36248417335674843
de_fp2_37_39Hz,kss_rating,-0.3608836083971535,0.3608836083971535
de_fp1_31_33Hz,frustration,-0.352363521841901,0.352363521841901
de_fp1_7_9Hz,perclos,0.34843574196908794,0.34843574196908794
bp_fp1_gamma,kss_rating,-0.34012860301510534,0.34012860301510534
de_fp2_5_7Hz,frustration,-0.3388909922989723,0.3388909922989723
de_fp2_11_13Hz,frustration,-0.33661993313766514,0.33661993313766514
de_fp2_33_35Hz,kss_rating,-0.3298639502962053,0.3298639502962053
de_fp2_27_29Hz,frustration,-0.3283036074092406,0.3283036074092406
