eeg_feature,behavior_variable,correlation,abs_correlation
bp_fp2_beta,kss_rating,0.4656082506288889,0.4656082506288889
de_fp1_45_47Hz,kss_rating,0.46126478726127856,0.46126478726127856
de_fp2_39_41Hz,frustration,-0.4536072460427803,0.4536072460427803
de_fp2_35_37Hz,frustration,-0.44846668729312655,0.44846668729312655
de_fp2_31_33Hz,frustration,-0.4464790935808125,0.4464790935808125
de_fp2_37_39Hz,frustration,-0.44244233340931594,0.44244233340931594
de_fp2_49_51Hz,frustration,-0.4415811175587478,0.4415811175587478
de_fp2_27_29Hz,frustration,-0.4365660344276173,0.4365660344276173
de_fp2_25_27Hz,frustration,-0.4301180561038819,0.4301180561038819
de_fp2_45_47Hz,frustration,-0.42907116497413783,0.42907116497413783
de_fp2_29_31Hz,frustration,-0.4130235731231726,0.4130235731231726
de_fp2_41_43Hz,frustration,-0.4097852453121181,0.4097852453121181
de_fp1_43_45Hz,kss_rating,0.4090566645386481,0.4090566645386481
de_fp2_43_45Hz,frustration,-0.38438347976280995,0.38438347976280995
de_fp1_33_35Hz,frustration,-0.37967721513886243,0.37967721513886243
de_fp2_17_19Hz,kss_rating,0.37961457739334736,0.37961457739334736
de_fp1_17_19Hz,frustration,0.3734676690348859,0.3734676690348859
de_fp2_23_25Hz,frustration,-0.3711069983847151,0.3711069983847151
de_fp1_21_23Hz,kss_rating,0.370320593403647,0.370320593403647
de_fp2_21_23Hz,frustration,-0.3699526776804262,0.3699526776804262
de_fp1_47_49Hz,perclos,0.36992678132805357,0.36992678132805357
bp_fp2_gamma,frustration,-0.36934282576918587,0.36934282576918587
de_fp1_1_3Hz,frustration,0.36151953271391035,0.36151953271391035
de_fp1_37_39Hz,frustration,-0.3564655524368683,0.3564655524368683
de_fp2_47_49Hz,frustration,-0.35348770739689966,0.35348770739689966
de_fp1_31_33Hz,frustration,-0.35304099313445736,0.35304099313445736
de_fp1_1_3Hz,kss_rating,-0.34785977853206057,0.34785977853206057
