,perclos,kss_rating,stress,frustration,accuracy,hit_rate,false_alarm_rate,rt_mean
de_fp2_41_43Hz,-0.029073214894053647,0.06484611628564449,0.2583776873856546,0.2568456090138898,-0.037265613714332756,-0.07349430589289073,0.004849313076923692,0.015544295491875932
de_fp2_43_45Hz,-0.03544212668670092,0.08618665147730149,0.24617033073878652,0.23669310646224528,-0.01731783057051029,-0.089860773331003,-0.048578595116229376,0.036958182792625124
de_fp2_45_47Hz,-0.023615474320083863,0.11040499272898802,0.25617615619023815,0.24740660782897628,-0.03764365741481885,-0.14659895445377485,-0.03905128553131953,0.08535476310052043
de_fp2_47_49Hz,0.01881005893681543,0.10567363938444396,0.26221628264347807,0.24944345886107594,-0.052537673501822015,-0.10523602326539076,-0.026073706576755333,0.1530728747276424
de_fp2_49_51Hz,0.01804527088383338,0.1224148525127065,0.2762239532896239,0.2671177801444681,-0.03331673002728215,-0.12054093890704277,-0.022125078865362458,0.10405884136379083
bp_fp1_delta,-0.07103768960440895,0.06586220316637796,0.1457427851814199,0.14243994245284364,-0.083837012476777,-0.26505291704608414,-0.03859049884655371,0.1680844331453527
bp_fp1_theta,-0.07038750628369321,0.06525907193880323,0.1444080746169283,0.14113546305283897,-0.08025086292387715,-0.24141248249316588,-0.015573632602391136,0.11910700288307587
bp_fp1_alpha,-0.0704676563260266,0.06533346430984431,0.14457270240568243,0.14129639600357283,-0.0020775794170832477,-0.2985451185156116,-0.04693592205731215,0.05813096889544252
bp_fp1_beta,-0.06957567476905627,0.06450581344358786,0.14274122159310823,0.13950642677094371,-0.009516723164375051,-0.18882858698784485,-0.06674759495025812,0.02365290212678249
bp_fp1_gamma,-0.06461149348772198,0.059901356407228316,0.13255188132521664,0.12954800361776211,0.009578987301419128,-0.08092271423039585,-0.07708697388991827,0.06085732998885172
bp_fp2_delta,-0.059139812453885575,0.05482760829501624,0.12132371990121807,0.11857425372937605,-0.1429560371206215,-0.28052142940200325,-0.0439770459999739,0.1111808001722166
